CITIES;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
ABERDEEN, SD;0,48;0,48;1,34;1,83;2,69;3,49;2,92;2,42;1,81;1,63;0,75;0,38
ABILENE, TX;0,97;1,13;1,41;1,67;2,83;3,06;1,69;2,63;2,91;2,9;1,3;1,27
AKRON, OH;2,49;2,28;3,15;3,39;3,96;3,55;4,02;3,65;3,43;2,53;3,04;2,98
ALAMOSA, CO;0,25;0,21;0,46;0,54;0,7;0,59;0,94;1,19;0,89;0,67;0,48;0,33
ALBANY, NY;2,71;2,27;3,17;3,25;3,67;3,74;3,5;3,68;3,31;3,23;3,31;2,76
ALBUQUERQUE, NM;0,49;0,44;0,61;0,5;0,6;0,65;1,27;1,73;1,07;1;0,62;0,49
ALLENTOWN, PA;3,5;2,75;3,56;3,49;4,47;3,99;4,27;4,35;4,37;3,33;3,7;3,39
ALPENA, MI;1,76;1,35;2,13;2,31;2,61;2,53;3,17;3,5;2,8;2,33;2,08;1,83
AMARILLO, TX;0,63;0,55;1,13;1,33;2,5;3,28;2,68;2,94;1,88;1,5;0,68;0,61
ANCHORAGE, AK;0,68;0,74;0,65;0,52;0,69;1,06;1,7;2,93;2,87;2,08;1,09;1,05
ANNETTE, AK;9,67;8,05;7,96;7,37;5,73;4,72;4,26;6,12;9,49;13,86;12,21;11,39
APALACHICOLA, FL;4,87;3,76;4,95;3;2,62;4,3;7,31;7,29;7,1;4,18;3,62;3,51
ASHEVILLE, NC;4,06;3,83;4,59;3,5;4,41;4,38;3,87;4,3;3,72;3,17;3,82;3,39
ASTORIA, OR;9,62;7,87;7,37;4,93;3,28;2,57;1,16;1,21;2,61;5,61;10,5;10,4
ATHENS, GA;4,69;4,39;4,99;3,35;3,86;3,94;4,41;3,78;3,53;3,47;3,71;3,71
ATLANTA, GA;5,02;4,68;5,38;3,62;3,95;3,63;5,12;3,67;4,09;3,11;4,1;3,82
ATLANTIC CITY AP, NJ;3,6;2,85;4,06;3,45;3,38;2,66;3,86;4,32;3,14;2,86;3,26;3,15
ATLANTIC CITY C.O.,NJ;3,44;2,88;3,79;3,25;3,16;2,46;3,36;4,16;3,02;2,71;2,96;3,18
AUGUSTA,GA;4,5;4,11;4,61;2,94;3,07;4,19;4,07;4,48;3,59;3,2;2,68;3,14
AUSTIN/BERGSTROM, TX;2,2;1,73;1,98;2,77;5,87;3,38;1,61;1,48;2,63;2,7;2,61;2,39
AUSTIN/CITY, TX;1,89;1,99;2,14;2,51;5,03;3,81;1,97;2,31;2,91;3,97;2,68;2,44
AVOCA, PA;2,46;2,08;2,69;3,28;3,69;3,97;3,74;3,1;3,86;3,02;3,12;2,55
BAKERSFIELD, CA;1,18;1,21;1,41;0,45;0,24;0,12;0;0,08;0,15;0,3;0,59;0,76
BALTIMORE, MD;3,47;3,02;3,93;3;3,89;3,43;3,85;3,74;3,98;3,16;3,12;3,35
BARROW, AK;0,12;0,12;0,09;0,12;0,12;0,32;0,87;1,04;0,69;0,39;0,16;0,12
BATON ROUGE, LA;6,19;5,1;5,07;5,56;5,34;5,33;5,96;5,86;4,84;3,81;4,76;5,26
BECKLEY, WV;3,23;2,96;3,63;3,42;4,39;3,92;4,78;3,45;3,23;2,64;2,88;3,09
BETHEL, AK;0,62;0,51;0,67;0,65;0,85;1,6;2,03;3,02;2,31;1,43;1,37;1,12
BETTLES,AK;0,84;0,61;0,55;0,38;0,85;1,43;2,1;2,54;1,82;1,08;0,9;0,87
BIG DELTA,AK;0,34;0,41;0,22;0,2;0,77;2,38;2,77;2,11;1,03;0,73;0,59;0,39
BILLINGS, MT;0,81;0,57;1,12;1,74;2,48;1,89;1,28;0,85;1,34;1,26;0,75;0,67
BINGHAMTON, NY;2,58;2,46;2,97;3,49;3,55;3,8;3,49;3,35;3,59;3,02;3,32;3,03
BIRMINGHAM AP,AL;5,45;4,21;6,1;4,67;4,83;3,78;5,09;3,48;4,05;3,23;4,63;4,47
BISHOP, CA;0,88;0,97;0,62;0,24;0,26;0,21;0,17;0,13;0,28;0,2;0,44;0,62
BISMARCK, ND;0,45;0,51;0,85;1,46;2,22;2,59;2,58;2,15;1,61;1,28;0,7;0,44
BLOCK IS.,RI;3,68;3,04;3,99;3,72;3,4;2,77;2,62;3;3,19;3,04;3,77;3,57
BLUE HILL, MA;4,78;4,06;4,79;4,32;3,79;3,93;3,74;4,06;4,13;4,42;4,64;4,56
BOISE, ID;1,39;1,14;1,41;1,27;1,27;0,74;0,39;0,3;0,76;0,76;1,38;1,38
